model,fold,mae,rmse,time_seconds
Baseline,1,0.6868866,0.9040547782180516,0.2020719051361084
Baseline,2,0.6842929,0.8983594114119631,0.2073349952697754
Baseline,3,0.6874313,0.9050371011747909,0.16404986381530762
Baseline,4,0.6880635,0.9050730593576208,0.17856478691101074
Baseline,5,0.6859635,0.9012674625731352,0.16466975212097168
User-kNN,1,0.6699492,0.8818543897960429,233.94083213806152
User-kNN,2,0.6682161,0.8772521326969169,240.52195072174072
User-kNN,3,0.67196715,0.8835215801308507,212.74008774757385
User-kNN,4,0.67167526,0.8830461446081882,232.04694509506226
User-kNN,5,0.6690165,0.8786585140764177,214.6977083683014
